source,date,apiURL,url,sku,name,brand,price,previousPrice,onSale,saleText,colour,size,UPC,EAN,cat,subcat1,subcat2,subcat3,subcat4,subcat5,warranty,image1,image2,image3,image4,image5,desc,shortDesc,reviewCount,reviewRating,videoURL,isSellingFast,isRestockingSoon,isPromotion,isOutletPrice,lowestPriceText,lowestPriceValue,attributeType1,attributeTitle1,attributeValue1,attributeType2,attributeTitle2,attributeValue2,attributeType3,attributeTitle3,attributeValue3,attributeType4,attributeTitle4,attributeValue4,attributeType5,attributeTitle5,attributeValue5,attributeType6,attributeTitle6,attributeValue6,attributeType7,attributeTitle7,attributeValue7,attributeType8,attributeTitle8,attributeValue8,attributeType9,attributeTitle9,attributeValue9,attributeType10,attributeTitle10,attributeValue10,attributeType11,attributeTitle11,attributeValue11,attributeType12,attributeTitle12,attributeValue12,attributeType13,attributeTitle13,attributeValue13,attributeType14,attributeTitle14,attributeValue14,attributeType15,attributeTitle15,attributeValue15,attributeType16,attributeTitle16,attributeValue16,attributeType17,attributeTitle17,attributeValue17,attributeType18,attributeTitle18,attributeValue18,attributeType19,attributeTitle19,attributeValue19,attributeType20,attributeTitle20,attributeValue20
oneplus.com,2025-09-21,https://mallapi-eu.oneplus.com/v2/api/rest/mall/product/detail/fetch?productCode=P1120081&bindSource=https://www.oneplus.com/uk/product/product/oneplus-pad-lite-folio-case,https://www.oneplus.com/uk/product/product/oneplus-pad-lite-folio-case,5511100699,OnePlus Pad Lite Folio Case Blue,OnePlus,34.99,,,,Blue,,,,Home,Tablet,OnePlus Pad Lite Folio Case,Buy,,,,https://image01-eu.oneplus.net/media/202506/26/b772045595546c1628435d64d950b0ec.png,https://image01-eu.oneplus.net/media/202506/26/8adb6538f242b5a03af174e8458a76d4.png,https://image01-eu.oneplus.net/media/202506/26/d91fcac3ff1e290118c6aa10eee85223.png,,,Buy OnePlus Pad Lite Folio Case,,,,,,,,,£34.99,34.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oneplus.com,2025-09-21,https://mallapi-eu.oneplus.com/v2/api/rest/mall/product/detail/fetch?productCode=P1120089&bindSource=https://www.oneplus.com/uk/product/product/oneplus-watch-strap-18mm,https://www.oneplus.com/uk/product/product/oneplus-watch-strap-18mm,5491100456,OnePlus Watch Strap 18mm Light Grey,OnePlus,29.99,,,,Light Grey,,,,Home,Wearables,OnePlus Watch Strap 18mm,Buy,,,,https://image01-eu.oneplus.net/media/202506/26/b6e57faf8ae2642738de04d037b8d14f.png,https://image01-eu.oneplus.net/media/202506/26/1d8ccff8d3020ea1f38920e02db64ca0.png,,,,Buy OnePlus Watch Strap 18mm,,,,,,,,,£29.99,29.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oneplus.com,2025-09-21,https://mallapi-eu.oneplus.com/v2/api/rest/mall/product/detail/fetch?productCode=P1120089&bindSource=https://www.oneplus.com/uk/product/product/oneplus-watch-strap-18mm,https://www.oneplus.com/uk/product/product/oneplus-watch-strap-18mm,5491100457,OnePlus Watch Strap 18mm Black,OnePlus,29.99,,,,Black,,,,Home,Wearables,OnePlus Watch Strap 18mm,Buy,,,,https://image01-eu.oneplus.net/media/202506/26/828bcd6761ecfe957ccc480c22fcbdbb.png,https://image01-eu.oneplus.net/media/202506/26/11570afedd0c04aa2b786d30ba506006.png,,,,Buy OnePlus Watch Strap 18mm,,,,,,,,,£29.99,29.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oneplus.com,2025-09-21,https://mallapi-eu.oneplus.com/v2/api/rest/mall/product/detail/fetch?productCode=P1120091&bindSource=https://www.oneplus.com/uk/product/product/oneplus-everyday-sling-bag,https://www.oneplus.com/uk/product/product/oneplus-everyday-sling-bag,5431101937,OnePlus Everyday Sling Bag Black,OnePlus,69.99,,,,Black,,,,Home,Lifestyle,OnePlus Everyday Sling Bag,Buy,,,,https://image01-eu.oneplus.net/media/202507/18/d32e014e686a96d1390616c6bf2f9242.png,https://image01-eu.oneplus.net/media/202507/18/b7467b293b5d48373bbfb8f5870c9c05.png,,,,Buy OnePlus Everyday Sling Bag,,,,,,,,,£69.99,69.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oneplus.com,2025-09-21,https://mallapi-eu.oneplus.com/v2/api/rest/mall/product/detail/fetch?productCode=P1120090&bindSource=https://www.oneplus.com/uk/product/product/oneplus-supervooc-150w-power-bank,https://www.oneplus.com/uk/product/product/oneplus-supervooc-150w-power-bank,5411100017,OnePlus SUPERVOOC 150W Power Bank Silver 20000mAh,OnePlus,99.99,,,,Silver,,,,Home,Power & Cables,OnePlus SUPERVOOC 150W Power Bank,Buy,,,,https://image01-eu.oneplus.net/media/202506/26/f39b8007a9a16504d006d88d6370099f.png,https://image01-eu.oneplus.net/media/202506/26/766ba8d5b27fc8678f47e71828f3231f.png,https://image01-eu.oneplus.net/media/202506/26/57bbbdade95a0422dd141f3b9a845a45.png,https://image01-eu.oneplus.net/media/202506/26/8a5f02ec2b3aaf024af4afeee28b7a4b.png,,Buy OnePlus SUPERVOOC 150W Power Bank 2000mAh,,,,,,,,,£99.99,99.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oneplus.com,2025-09-21,https://mallapi-eu.oneplus.com/v2/api/rest/mall/product/detail/fetch?productCode=P1120082&bindSource=https://www.oneplus.com/uk/buy-oneplus-watch-3-43mm,https://www.oneplus.com/uk/buy-oneplus-watch-3-43mm,5491100421,OnePlus Watch 3 43mm Bluetooth/WiFi 43mm Black Steel,OnePlus,249.00,269.00,Y,7% off,Black Steel,,,,Home,Wearables,OnePlus Watch 3 43mm,Buy,,,,https://image01-eu.oneplus.net/media/202507/01/aa1eaa369d23d6a9ea01b67c50b7f642.png,https://image01-eu.oneplus.net/media/202507/01/0916f3d80c0a0ebd1aa539f3c74c1044.png,https://image01-eu.oneplus.net/media/202507/01/615fcf23e5f385442bda40f2551bd668.png,,,"Buy the OnePlus Watch 3 43mm online at the official OnePlus UK Store, this elegant and intelligent wearable offers smart performance and unmatched endurance.",,,,,,,,,£249.00,249.00,specification,Case,Stainless steel,specification,Strap,Fluoroelastomer Strap,specification,Wrist Size,130mm-210mm,specification,Size,Approximately  43.2mm x 43.2mm x 11mm?excluding PPG?,specification,Weight,Approximately  37.8g (excluding strap),specification,Screen Size,1.32 inches,specification,Panel type,AMOLED,specification,Resolution,466 x 466 pixels,specification,Pixel Density,352PPI,specification,Cover Glasses,2.5D Glass,specification,Processor,"Processor?Snapdragon® W5 Gen 1 Wearable Platform, MCU?BES2800BP",specification,Storage,2GB RAM+32GB ROM,specification,Battery,354mAh (typical)  ?345mAh (rated),specification,Battery life for standard use in smart mode,Up to 60h,specification,Battery life for heavy use in smart mode,Up to 36h,specification,Battery life in power saver mode,Up to 7 days,specification,Fast Charging,"10 minutes charge for up to 24 hours of normal use, Up to 100% charge in about an hour",specification,Health and Wellness,"Mind and Body, Breathing, Cycle Tracker, All-day SpO2 tracking, Low SpO2 alerts, All-day Heart rate tracking, High and low heart rate notifications, All-day sleep recording (deep sleep, light sleep, REM, awake), Sleep Quality Score, Respiratory rate, Sleep Snoring Risk Assessment, Sleep Blood Oxygen, Sleep Daily Report, Smart enter sleep mode, Daily activity and Get-up reminders, Fall Detection, Emergency SOS, Health Insights?Analysis vital signs of staying up late, Sleep benchmark heart rate monitoring?Europe and North America regions have limited functionality?, OHealth?Supports integration with Google Health Connect service and Strava",specification,Workouts,"100+ sports modes, Professional sports mode:, 1. Skiing (speed, drop, slope, number of trips, full and single trip distance, etc.), 2. Running (cadence, stride length, ground contact time, vertical amplitude, vertical stride ratio, left and right ground contact balance, running power? Professional indicator analysis: aerobic training effect, cardiorespiratory capacity, recovery time, heart rate recovery rate, running posture, playground running mode?Fat burning mode, Fat Burning Evaluation), 3. Tennis (swing speed, total strokes, serve, forehand, backhand), 4. Badminton (swing speed, number of swings, longest continuous shot, forehand, backhand, overhand, underhand), 5. Swimming (100-meter pace, number of laps, distance, number of strokes, swolf), 6. Rope skipping (number of times, speed), 7. Mountain climbing (distance, altitude, cumulative climb, cumulative descent), 8. Walking (distance, number of steps, cadence), 9. Cycling (distance, speed, altitude, cumulative climb), 10. Elliptical machine (cadence, number of steps), 11. Rowing machine (paddle frequency, number of strokes), 6 types of automatic recognition (running, walking, cycling, swimming, rowing machine, elliptical machine)",specification,Call Performance,Bluetooth® calling
oneplus.com,2025-09-21,https://mallapi-eu.oneplus.com/v2/api/rest/mall/product/detail/fetch?productCode=P1120082&bindSource=https://www.oneplus.com/uk/buy-oneplus-watch-3-43mm,https://www.oneplus.com/uk/buy-oneplus-watch-3-43mm,5491100422,OnePlus Watch 3 43mm Silver Steel Bluetooth/WiFi 43mm,OnePlus,249.00,269.00,Y,7% off,Silver Steel,,,,Home,Wearables,OnePlus Watch 3 43mm,Buy,,,,https://image01-eu.oneplus.net/media/202506/20/9f78123f1ca0b6db86ab76ace5832592.png,https://image01-eu.oneplus.net/media/202506/20/cdc9cc5258f93be33cf259e83ef8859a.png,https://image01-eu.oneplus.net/media/202506/20/a70e7bd5766f7b4ccd86cf7d26946c8a.png,,,"Buy the OnePlus Watch 3 43mm online at the official OnePlus UK Store, this elegant and intelligent wearable offers smart performance and unmatched endurance.",,,,,,,,,£249.00,249.00,specification,Case,Stainless steel,specification,Strap,Fluoroelastomer Strap,specification,Wrist Size,130mm-210mm,specification,Size,Approximately  43.2mm x 43.2mm x 11mm?excluding PPG?,specification,Weight,Approximately  37.8g (excluding strap),specification,Screen Size,1.32 inches,specification,Panel type,AMOLED,specification,Resolution,466 x 466 pixels,specification,Pixel Density,352PPI,specification,Cover Glasses,2.5D Glass,specification,Processor,"Processor?Snapdragon® W5 Gen 1 Wearable Platform, MCU?BES2800BP",specification,Storage,2GB RAM+32GB ROM,specification,Battery,354mAh (typical)  ?345mAh (rated),specification,Battery life for standard use in smart mode,Up to 60h,specification,Battery life for heavy use in smart mode,Up to 36h,specification,Battery life in power saver mode,Up to 7 days,specification,Fast Charging,"10 minutes charge for up to 24 hours of normal use, Up to 100% charge in about an hour",specification,Health and Wellness,"Mind and Body, Breathing, Cycle Tracker, All-day SpO2 tracking, Low SpO2 alerts, All-day Heart rate tracking, High and low heart rate notifications, All-day sleep recording (deep sleep, light sleep, REM, awake), Sleep Quality Score, Respiratory rate, Sleep Snoring Risk Assessment, Sleep Blood Oxygen, Sleep Daily Report, Smart enter sleep mode, Daily activity and Get-up reminders, Fall Detection, Emergency SOS, Health Insights?Analysis vital signs of staying up late, Sleep benchmark heart rate monitoring?Europe and North America regions have limited functionality?, OHealth?Supports integration with Google Health Connect service and Strava",specification,Workouts,"100+ sports modes, Professional sports mode:, 1. Skiing (speed, drop, slope, number of trips, full and single trip distance, etc.), 2. Running (cadence, stride length, ground contact time, vertical amplitude, vertical stride ratio, left and right ground contact balance, running power? Professional indicator analysis: aerobic training effect, cardiorespiratory capacity, recovery time, heart rate recovery rate, running posture, playground running mode?Fat burning mode, Fat Burning Evaluation), 3. Tennis (swing speed, total strokes, serve, forehand, backhand), 4. Badminton (swing speed, number of swings, longest continuous shot, forehand, backhand, overhand, underhand), 5. Swimming (100-meter pace, number of laps, distance, number of strokes, swolf), 6. Rope skipping (number of times, speed), 7. Mountain climbing (distance, altitude, cumulative climb, cumulative descent), 8. Walking (distance, number of steps, cadence), 9. Cycling (distance, speed, altitude, cumulative climb), 10. Elliptical machine (cadence, number of steps), 11. Rowing machine (paddle frequency, number of strokes), 6 types of automatic recognition (running, walking, cycling, swimming, rowing machine, elliptical machine)",specification,Call Performance,Bluetooth® calling
oneplus.com,2025-09-21,https://mallapi-eu.oneplus.com/v2/api/rest/mall/product/detail/fetch?productCode=P1120077&bindSource=https://www.oneplus.com/uk/product/product/oneplus-buds-4,https://www.oneplus.com/uk/product/product/oneplus-buds-4,5481158909,OnePlus Buds 4 Storm Gray,OnePlus,99.00,119.00,Y,16% off,Storm Gray,,,,Home,Audio,OnePlus Buds 4,Buy,,,,https://image01-eu.oneplus.net/media/202506/20/585080e6513801a2d7441dec8b48b151.png,https://image01-eu.oneplus.net/media/202506/20/7a775b4c3341b1aa7b05cea913c49deb.png,https://image01-eu.oneplus.net/media/202506/20/0c78b2d0bd7767ed91213d62286b4b5f.png,https://image01-eu.oneplus.net/media/202506/20/45e03cde835234b3d8550d218432a17f.png,,The all new OnePlus Buds 4 availabe now with the best price and exclusive discounts at OnePlus Online Store. Enjoy your time with the newest audio now!,,,,,,,,,£99.00,99.00,specification,Colorways,"Zen Green, Storm Gray",specification,Dimensions,"Earbuds: 31*20.6*24.2mm, Charging case: 65.4*52.4*25.3mm",specification,Weight,"Earbuds: 4.73 ± 0.2 g, Charging case: 39.57 ± 1 g, Total: 49.02 ± 1 g",specification,Drivers,11mm woofer + 6mm tweeter,specification,Frequency Response,15Hz~40KHz,specification,Driver Sensitivity,118±1.3dB @1mW,specification,Microphone Sensitivity,-38±1dB,specification,Microphones,3 mics per side,specification,Impedance,"18? ± 15%, 10? ± 15%",specification,Sound Pressure,96.5dB,specification,Rated Power,10mW,specification,Noise Cancellation Type,Real-Time Adaptive Active Noise Cancellation,specification,Noise Reduction Depth,Up to 55dB,specification,Noise Reduction Frequency Range,"Up to 5,500Hz",specification,Noise Control Modes,ANC on / Adaptive Mode / Transparency Mode / ANC off,specification,Noise Cancellation,3-mic AI Call Noise Cancellation,specification,Bluetooth® Codec,LHDC 5.0 / AAC / SBC,specification,Bluetooth® Version,Bluetooth® 5.4 with Steady Connect,specification,Bluetooth® Effective Distance,10m,specification,Bluetooth® Transmission Protocol,HFP/A2DP/AVRCP
oneplus.com,2025-09-21,https://mallapi-eu.oneplus.com/v2/api/rest/mall/product/detail/fetch?productCode=P1120077&bindSource=https://www.oneplus.com/uk/product/product/oneplus-buds-4,https://www.oneplus.com/uk/product/product/oneplus-buds-4,5481158910,OnePlus Buds 4 Zen Green,OnePlus,99.00,119.00,Y,16% off,Zen Green,,,,Home,Audio,OnePlus Buds 4,Buy,,,,https://image01-eu.oneplus.net/media/202506/20/d796a256d9bc6744b23c3d10fe7c205f.png,https://image01-eu.oneplus.net/media/202506/20/a2d453059dd16ff21447446240c5bfb1.png,https://image01-eu.oneplus.net/media/202506/20/213aa160481eba862ef0dde90c53a177.png,https://image01-eu.oneplus.net/media/202506/20/ef155cc5f2266080176aac3b8f8242e1.png,,The all new OnePlus Buds 4 availabe now with the best price and exclusive discounts at OnePlus Online Store. Enjoy your time with the newest audio now!,,,,,,,,,£99.00,99.00,specification,Colorways,"Zen Green, Storm Gray",specification,Dimensions,"Earbuds: 31*20.6*24.2mm, Charging case: 65.4*52.4*25.3mm",specification,Weight,"Earbuds: 4.73 ± 0.2 g, Charging case: 39.57 ± 1 g, Total: 49.02 ± 1 g",specification,Drivers,11mm woofer + 6mm tweeter,specification,Frequency Response,15Hz~40KHz,specification,Driver Sensitivity,118±1.3dB @1mW,specification,Microphone Sensitivity,-38±1dB,specification,Microphones,3 mics per side,specification,Impedance,"18? ± 15%, 10? ± 15%",specification,Sound Pressure,96.5dB,specification,Rated Power,10mW,specification,Noise Cancellation Type,Real-Time Adaptive Active Noise Cancellation,specification,Noise Reduction Depth,Up to 55dB,specification,Noise Reduction Frequency Range,"Up to 5,500Hz",specification,Noise Control Modes,ANC on / Adaptive Mode / Transparency Mode / ANC off,specification,Noise Cancellation,3-mic AI Call Noise Cancellation,specification,Bluetooth® Codec,LHDC 5.0 / AAC / SBC,specification,Bluetooth® Version,Bluetooth® 5.4 with Steady Connect,specification,Bluetooth® Effective Distance,10m,specification,Bluetooth® Transmission Protocol,HFP/A2DP/AVRCP
oneplus.com,2025-09-21,https://mallapi-eu.oneplus.com/v2/api/rest/mall/product/detail/fetch?productCode=P1120083&bindSource=https://www.oneplus.com/uk/oneplus-nord-5,https://www.oneplus.com/uk/oneplus-nord-5,5011113304,OnePlus Nord 5 Dry Ice 12 GB RAM + 512 GB ROM,OnePlus,499.00,,,,Dry Ice,12 GB RAM + 512 GB ROM,,,Home,Phone,OnePlus Nord 5,Buy,,,,https://image01-eu.oneplus.net/media/202506/20/945fd968fb4dcd344b90aa90c8a7f1bd.png,https://image01-eu.oneplus.net/media/202506/20/0b338fa66d77fa49aba4cbfea96adb65.png,https://image01-eu.oneplus.net/media/202506/20/a81d7f4c5dd1da17d7adeb6988a421c8.png,,,Buy the OnePlus Nord 5 with Qualcomm Snapdragon 8s Gen 3 chip in the official OnePlus UK Online Store and enjoy smooth performance and all-day reliability.,,,,,,,,,£499.00,499.00,specification,Height,163.41 mm,specification,Width,77.04 mm,specification,Thickness,8.1 mm,specification,Weight,211g,specification,Parameters,"Aspect Ratio: 19.8:9, Size: 6.83"" (measured diagonally from corner to corner), Resolution: 1.5K (FHD+), 2800 x 1272, Pixel density: 450 ppi, Screen-to-body Ratio: 93.6%, Refresh Rate: Up to 144Hz (60/90/120/144Hz), Panel Type: Swift AMOLED with Ultra HDR support, Adjustible / Full-screen (HBM) / Peak Brightness: 800 / 1400 / 1800 nits, Color: 10-bit (1.07 billion colors), Support sRGB, DCI-P3, 100% DCI-P3, Touch Response (Instantaneous): Up to 3000 Hz, Eye-care Pulse-Width Modulation: 3840 Hz, Sun-amp technology: Yes, Protective Material: Corning Gorilla Glass 7i (exclusively co-developed material)",specification,Features,"Multi-brightness color calibration, Screen color temperature, Manual Brightness, Auto Brightness, Color vision enhancement, Color personalization, Screen color mode, Eye comfort, Nature tone display, Bed time mode, Night Mode",specification,Performance,"Operating System: OxygenOS 15.0 based on Android? 15, CPU: Qualcomm® Snapdragon? 8s Gen 3 Mobile Platform, GPU: Qualcomm® Adreno? 735, RAM: 8 / 12GB LPDDR5X with OnePlus RAM-Vitalization, RAM Expansion: 4/6/8GB (8GB RAM), 4/8/12GB (12GB RAM), Storage: 256/512GB UFS 3.1, Available configurations: 8GB + 256GB / 12GB + 512GB, Heat dissipation area: 32207mm², Battery: 5,200 mAh (Single-cell non-removable), 80W SUPERVOOC Charging / 18W PD?55W PPS?, Reverse Charging: 5W (Wired only), Bypass Charging: Yes, Haptics: X-axis motor, Certification: TÜV SÜD 72-month Fluency Rating A",specification,Main Camera,"Autofocus: Yes, Sensor Size: 1/1.56"", Megapixels: 50, Pixel Size: 1.0 µm, Lens Quantity: 6P, Aperture: ?/1.8, Field of View: 84°, Sensor: Sony LYT-700 CMOS (aka IMX906), Tri-axis Optical Image Stabilization: Yes, Tri-axis Electronic Image Stabilization: Yes, Focal Length: 24 mm equivalent",specification,Ultra-Wide,"Pixel Size: 1.12 µm, Megapixels: 8, Macro: 3.5 cm, Autofocus: Yes, Sensor: OV08D10, Sensor Size: 1/4"", Lens Quantity: 5P, Tri-axis Electronic Image Stabilization: Yes, Focal Length: 15 mm equivalent, Field of View: 116°",specification,Flash,LED,specification,Zoom,0.6-20x digital zoom,specification,Video,"Video Editor, Dual-view video at 1080p, 30 fps, 4K video at 60/30 fps, 1080p video at 60/30 fps, 720p video at 30 fps, EIS/OIS video: 4K video at 60/30 fps, 1080p video at 60/30 fps (default), 720p video at 30 fps, Slo-mo video at 1080p at 120 fps, 720p at 240 fps, Time-lapse at 4K video at 30 fps, 1080p video at 30 fps, Digital zoom: Up to 18x, Video zoom: 4K video at 60/30 fps, 1080p video at 60/30 fps, 720p video at 30 fps, Cinematic: 3840x1644 at 30 fps",specification,Features,"Photo, Video, Portrait, Nightscape, Pro Mode, Panorama, Cinematic, Slo-mo, Long Exposure, Dual-view Video, Time-lapse, Text-scanner, Hi-Res Mode, Tilt-shift, Google Lens.",specification,Front Camera,"Field of View: 90°, Focal Length: 21 mm equivalent, Lens Quantity: 5P, Sensor: SAMSUNG ISOCELL JN5, Sensor Size: 1/2.75"", Megapixels: 50, Pixel Size: 0.64 µm, Tri-axis Electronic Image Stabilization: Yes, Autofocus: Yes, Aperture: ?/2.0",specification,Front Camera Video,"4K video at 60/30 fps, 1080p video at 60/30 fps, 720p video at 30 fps (beautification on 1080p 30 fps or 720p 30 fps only), Steady Mode: 1080p video at 60 fps",specification,Front Camera Features,"Face Unlock, Photo, Video, Portrait, Nightscape Selfie, Panorama Selfie, Dual-view Video, Time-lapse. Slo-Mo, Retouch, Screen Flash",specification,eSIM,No,specification,Dual SIM,Yes (with Dual SIM Dual Active support),specification,LTE/LTE-A,"4×4 MIMO, Supports up to DL Cat 19/UL Cat 18 (1600Mbps/200Mbps), depending on carrier support",specification,LTE,"GSM: 850/900/1800/1900MHz, *Network connectivity may vary depending on carrier?s network and related service deployment., LTE-FDD: Bands 1/2/3/4/5/7/8/12/17/18/19/20/26/28/32/66, LTE-TDD: Bands 38/39/40/41/42, 5G NR: n1/n2/n3/n5/n7/n8/n12/n20/n28/n38/n40/n41/n66/n75/n77/n78"
oneplus.com,2025-09-21,https://mallapi-eu.oneplus.com/v2/api/rest/mall/product/detail/fetch?productCode=P1120083&bindSource=https://www.oneplus.com/uk/oneplus-nord-5,https://www.oneplus.com/uk/oneplus-nord-5,5011113305,OnePlus Nord 5 8 GB RAM + 256 GB ROM Phantom Grey,OnePlus,399.00,,,,Phantom Grey,8 GB RAM + 256 GB ROM,,,Home,Phone,OnePlus Nord 5,Buy,,,,https://image01-eu.oneplus.net/media/202506/30/cd96b8c5d2b7d10034ef5fa5d9beafb5.png,https://image01-eu.oneplus.net/media/202506/30/c2ba495e830e702fe09d76b697fd9dff.png,https://image01-eu.oneplus.net/media/202506/30/d0c525214fa07df6199e1494a5d8db5d.png,,,Buy the OnePlus Nord 5 with Qualcomm Snapdragon 8s Gen 3 chip in the official OnePlus UK Online Store and enjoy smooth performance and all-day reliability.,,,,,,,,,£399.00,399.00,specification,Height,163.41 mm,specification,Width,77.04 mm,specification,Thickness,8.1 mm,specification,Weight,211g,specification,Parameters,"Aspect Ratio: 19.8:9, Size: 6.83"" (measured diagonally from corner to corner), Resolution: 1.5K (FHD+), 2800 x 1272, Pixel density: 450 ppi, Screen-to-body Ratio: 93.6%, Refresh Rate: Up to 144Hz (60/90/120/144Hz), Panel Type: Swift AMOLED with Ultra HDR support, Adjustible / Full-screen (HBM) / Peak Brightness: 800 / 1400 / 1800 nits, Color: 10-bit (1.07 billion colors), Support sRGB, DCI-P3, 100% DCI-P3, Touch Response (Instantaneous): Up to 3000 Hz, Eye-care Pulse-Width Modulation: 3840 Hz, Sun-amp technology: Yes, Protective Material: Corning Gorilla Glass 7i (exclusively co-developed material)",specification,Features,"Multi-brightness color calibration, Screen color temperature, Manual Brightness, Auto Brightness, Color vision enhancement, Color personalization, Screen color mode, Eye comfort, Nature tone display, Bed time mode, Night Mode",specification,Performance,"Operating System: OxygenOS 15.0 based on Android? 15, CPU: Qualcomm® Snapdragon? 8s Gen 3 Mobile Platform, GPU: Qualcomm® Adreno? 735, RAM: 8 / 12GB LPDDR5X with OnePlus RAM-Vitalization, RAM Expansion: 4/6/8GB (8GB RAM), 4/8/12GB (12GB RAM), Storage: 256/512GB UFS 3.1, Available configurations: 8GB + 256GB / 12GB + 512GB, Heat dissipation area: 32207mm², Battery: 5,200 mAh (Single-cell non-removable), 80W SUPERVOOC Charging / 18W PD?55W PPS?, Reverse Charging: 5W (Wired only), Bypass Charging: Yes, Haptics: X-axis motor, Certification: TÜV SÜD 72-month Fluency Rating A",specification,Main Camera,"Autofocus: Yes, Sensor Size: 1/1.56"", Megapixels: 50, Pixel Size: 1.0 µm, Lens Quantity: 6P, Aperture: ?/1.8, Field of View: 84°, Sensor: Sony LYT-700 CMOS (aka IMX906), Tri-axis Optical Image Stabilization: Yes, Tri-axis Electronic Image Stabilization: Yes, Focal Length: 24 mm equivalent",specification,Ultra-Wide,"Pixel Size: 1.12 µm, Megapixels: 8, Macro: 3.5 cm, Autofocus: Yes, Sensor: OV08D10, Sensor Size: 1/4"", Lens Quantity: 5P, Tri-axis Electronic Image Stabilization: Yes, Focal Length: 15 mm equivalent, Field of View: 116°",specification,Flash,LED,specification,Zoom,0.6-20x digital zoom,specification,Video,"Video Editor, Dual-view video at 1080p, 30 fps, 4K video at 60/30 fps, 1080p video at 60/30 fps, 720p video at 30 fps, EIS/OIS video: 4K video at 60/30 fps, 1080p video at 60/30 fps (default), 720p video at 30 fps, Slo-mo video at 1080p at 120 fps, 720p at 240 fps, Time-lapse at 4K video at 30 fps, 1080p video at 30 fps, Digital zoom: Up to 18x, Video zoom: 4K video at 60/30 fps, 1080p video at 60/30 fps, 720p video at 30 fps, Cinematic: 3840x1644 at 30 fps",specification,Features,"Photo, Video, Portrait, Nightscape, Pro Mode, Panorama, Cinematic, Slo-mo, Long Exposure, Dual-view Video, Time-lapse, Text-scanner, Hi-Res Mode, Tilt-shift, Google Lens.",specification,Front Camera,"Field of View: 90°, Focal Length: 21 mm equivalent, Lens Quantity: 5P, Sensor: SAMSUNG ISOCELL JN5, Sensor Size: 1/2.75"", Megapixels: 50, Pixel Size: 0.64 µm, Tri-axis Electronic Image Stabilization: Yes, Autofocus: Yes, Aperture: ?/2.0",specification,Front Camera Video,"4K video at 60/30 fps, 1080p video at 60/30 fps, 720p video at 30 fps (beautification on 1080p 30 fps or 720p 30 fps only), Steady Mode: 1080p video at 60 fps",specification,Front Camera Features,"Face Unlock, Photo, Video, Portrait, Nightscape Selfie, Panorama Selfie, Dual-view Video, Time-lapse. Slo-Mo, Retouch, Screen Flash",specification,eSIM,No,specification,Dual SIM,Yes (with Dual SIM Dual Active support),specification,LTE/LTE-A,"4×4 MIMO, Supports up to DL Cat 19/UL Cat 18 (1600Mbps/200Mbps), depending on carrier support",specification,LTE,"GSM: 850/900/1800/1900MHz, *Network connectivity may vary depending on carrier?s network and related service deployment., LTE-FDD: Bands 1/2/3/4/5/7/8/12/17/18/19/20/26/28/32/66, LTE-TDD: Bands 38/39/40/41/42, 5G NR: n1/n2/n3/n5/n7/n8/n12/n20/n28/n38/n40/n41/n66/n75/n77/n78"
