source,date,apiURL,url,sku,name,brand,price,stock,previousPrice,onSale,saleText,colour,size,UPC,EAN,cat,subcat1,subcat2,subcat3,subcat4,subcat5,warranty,image1,image2,image3,image4,image5,desc,shortDesc,reviewCount,reviewRating,videoURL,isSellingFast,isRestockingSoon,isPromotion,isOutletPrice,lowestPriceText,lowestPriceValue,attributeType1,attributeTitle1,attributeValue1,attributeType2,attributeTitle2,attributeValue2,attributeType3,attributeTitle3,attributeValue3,attributeType4,attributeTitle4,attributeValue4,attributeType5,attributeTitle5,attributeValue5,attributeType6,attributeTitle6,attributeValue6,attributeType7,attributeTitle7,attributeValue7,attributeType8,attributeTitle8,attributeValue8,attributeType9,attributeTitle9,attributeValue9,attributeType10,attributeTitle10,attributeValue10,attributeType11,attributeTitle11,attributeValue11,attributeType12,attributeTitle12,attributeValue12,attributeType13,attributeTitle13,attributeValue13,attributeType14,attributeTitle14,attributeValue14,attributeType15,attributeTitle15,attributeValue15,attributeType16,attributeTitle16,attributeValue16,attributeType17,attributeTitle17,attributeValue17,attributeType18,attributeTitle18,attributeValue18,attributeType19,attributeTitle19,attributeValue19,attributeType20,attributeTitle20,attributeValue20
maplin,2025-11-04,,https://www.maplin.co.uk/products/praktica-np-45-rechargeable-battery-pack-for-wp240-z250-z212-fuji-cameras?variant=43401323544797,5055189024533,PRAKTICA NP-45 Rechargeable Battery Pack for WP240 Z250 Z212 & Fuji Cameras,Praktica,12.99,Y,,,,,Default Title,,,Camera Batteries,All Batteries,Specialist Batteries,[Internal] Blue Light 10%,[Internal] Private Label 15%,[Internal] 30% off Maplin Extra Long Life High Performance Alkaline AA / AAA Batteries when you purchase any of these products,,https://cdn.shopify.com/s/files/1/0633/2396/3613/products/b19ab19a608d4046d06c84e610abcc8b97264405e029_PRA158_BR_0.jpg?v=1720523343,https://cdn.shopify.com/s/files/1/0633/2396/3613/products/3a813a81db4b3d16de0ebc31be19dd39afa2d3cd4281_PRA158_CU_0.jpg?v=1720523346,https://cdn.shopify.com/s/files/1/0633/2396/3613/products/d2c9d2c9f6f6e957b0c864f3abe3a95a6f2d31163984_PRA158_FR_0.jpg?v=1720523349,https://cdn.shopify.com/s/files/1/0633/2396/3613/products/6d266d2648c6f3557a8244e7001975cf41ac2b3bc105_PRA158_BS_0.jpg?v=1720523356,https://cdn.shopify.com/s/files/1/0633/2396/3613/products/4b7d4b7d3913b431af4c0ba668e5df75a33b6b5b6cb4_PRA158_FL_0.jpg?v=1720523360,"The PRAKTICA NP-45 Rechargeable Battery Pack for WP240 Z250 Z212 & Fuji Cameras is compatible with the Luxmedia camera series WP240, Z250, and Z212 cameras - This battery is manufactured by Fuji Electronics and is compatible with selected Fuji compact cameras as well.",,2,4.5,,,,,,,,filter,Battery Capacity,700 mAh,filter,Number Of Batteries,1,filter,published_online_store,yes,filter,Rechargeable?,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maplin,2025-11-04,,https://www.maplin.co.uk/products/energizer-cr2016-3v-lithium-coin-cell-battery-pack-of-2?variant=43401323643101,7638900248340,Energizer CR2016 3V Lithium Coin Cell Battery - Pack of 2,Energizer,2.99,Y,,,,,Default Title,,,All Batteries,Specialist Batteries,Coin Cell Batteries,All Products,[Internal] Key Worker,[Internal] Totum,,https://cdn.shopify.com/s/files/1/0633/2396/3613/products/4e974e97a5d6865834057ccc33ce80cb44a9c3f52032_ENE047_FS_0.jpg?v=1720523370,https://cdn.shopify.com/s/files/1/0633/2396/3613/products/072de9fd-ec11-4f50-9ed0-b22d50583adc.jpg?v=1720523373,,,,"The Energizer CR2016 3V Lithium Coin Cell Battery works in watches, doorbells, cameras, remote controls & more - They are commonly used for: Watches: Coin cell batteries are widely used in wristwatches, providing long-lasting and compact power - Calculators: Many small electronic calculators use coin cell batteries due to their compact size and low power requirements - Hearing Aids: Some hearing aids use coin cell batteries for their small size and reliable power - Remote Controls: Small remote controls, such as those for car key fobs or some TV remotes, often use coin cell batteries - Medical Devices: Devices like glucose meters and digital thermometers frequently use coin cell batteries for their compact and lightweight design - Specifications Battery size: CR2016Battery chemistry: LithiumBattery voltage: 3VPack size: 2",,0,0.0,,,,,,,,filter,Battery Chemistry,Lithium,filter,Battery Size,CR2016,filter,Number Of Batteries,2,filter,published_online_store,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maplin,2025-11-04,,https://www.maplin.co.uk/products/energizer-universal-charger-for-aa-aaa-c-d-9v-rechargeable-batteries?variant=43401329344733,7638900423709,Energizer Universal Charger for AA / AAA / C / D / 9V Rechargeable Batteries,Energizer,24.99,Y,,,,,Default Title,,,All Batteries,Battery Accessories,Battery Chargers,[Internal] 30% off Maplin Extra Long Life High Performance Alkaline AA / AAA Batteries when you purchase any of these products,All Products,[Internal] Key Worker,,https://cdn.shopify.com/s/files/1/0633/2396/3613/products/05fd05fd8a600d07ef6416c1fb2908fd8429d8afa313_ENE052_FS_0_31a63226-ca34-4136-8bd8-af5c196950c6.jpg?v=1720523397,,,,,"The Energizer Universal Charger for AA / AAA / C / D / 9V Rechargeable Batteries is the ideal, versatile battery charger for all the family - It charges the five most popular battery sizes, so everyone always has the power they need - Charges AA, AAA, C, D and 9V rechargeable batteries.Charges AA, AAA, C, D and 9V rechargeable batteriesFast, safe charging to AA or AAA batteries from 3 to 5 hoursLCD panel indicating charging statusBad battery detection and reverse polarity protectionSafety timer to prevent over charge",,4,4.5,,,,,,,,filter,published_online_store,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maplin,2025-11-04,,https://www.maplin.co.uk/products/maplin-65w-4-port-usb-c-pd-usb-a-qc-3-usb-a-gan-technology-power-charger-black-1-2m?variant=43401333080285,5055189035898,Maplin 4 Port (1 x USB-C PD / 3 x USB-A 3.0 QC) 65W GaN USB Laptop Charger with 1.2m Cable,Maplin,29.0,Y,,,,Black,Default Title,,,All PC & Mobile Accessories,Chargers,USB Chargers,[Internal] Blue Light 10%,[Internal] Private Label 15%,Learn more about Maplin,,https://cdn.shopify.com/s/files/1/0633/2396/3613/files/MAP552Image1.jpg?v=1720523521,https://cdn.shopify.com/s/files/1/0633/2396/3613/files/MAP552Image2.jpg?v=1720523525,https://cdn.shopify.com/s/files/1/0633/2396/3613/files/MAP552Image3.jpg?v=1720523531,https://cdn.shopify.com/s/files/1/0633/2396/3613/files/MAP313Image7_a7122f67-bd83-4685-98f2-0676b7529e43.jpg?v=1720523534,https://cdn.shopify.com/s/files/1/0633/2396/3613/files/MAP552Image5.jpg?v=1720523543,"This Maplin 4 Port (1 x USB-C PD / 3 x USB-A 3.0 QC) 65W GaN USB Laptop Charger with 1.2m Cable is powered by GaN Technology and features Power Delivery and Qualcomm 3.0 Quick Charge technology - Much smaller than other chargers, it's compact enough to accompany you wherever you go - Capable of fully charging a Mac Book Pro in only 2 hours - Specifications Plastic enclosure material: Polycarbonate resin AC input: IEC socket (2 pins) with 1.2m UK plug input cord Outputs: 1 x USB-C PD 3.0 / 1 x USB-A QC 3.0 / 2 x USB-A Dimensions: 82 x 82 x 32mm (L x W x H) Weight: 240g (not including AC power cord) Primary voltage and frequency: 100-240V AC 50-60Hz, 1.5A max - Secondary voltage: USB-C = 5V/9V/12V/15V DC 3A; 20V DC 3.25A 65W max - - QC 3.0 = 5V DC 3A; 9V DC 2A; 12V DC 1.5A 18W max - - USB-A = 5V DC 2.4A shared, 12W max - (each port 2.4A max.) Total output is 65W max - Protection: Overload protection / Short circuit protection Ripple: 270mV P-P max - Efficiency: Level VI Temperature: -10oC to 55oC (storage temperature) / 0oC to 35oC (working temperature) Humidity: 5 to 95% (storage humidity) / 10 to 90% (working humidity) Worldwide use - Universal voltageQuadruple outputs, charges 4 devices simultaneously Compatible with: IPhone 14/ 14 Plus/ 14 Pro/ 14 Pro Max/iPhone 13/ 13 Mini/ 13 Pro/ 13 Pro Max/ iPhone 12/ 12 Pro/ 12 Pro Max/ 12 Mini/ iPhone SE/ iPhone 11/ 11 Pro/ 11 Pro Max/ iPhone XS/ XS Max/ XR/ X/ 8 Plus/ 8/ 7/ 7 Plus/ 6; Samsung Galaxy S21/ S20/ Note 20/ S10/ S10e/ S10+/ S9/ S9+/ S8/ S8+/ Note 9/ Note 8/ Huawei P10/ Mate 9/ Mate 20X/ Mate 20 Pro LG G7 / V30+; iPad Pro 2021/ iPad Pro 12.9/ iPad Pro 10.5/ iPad Pro 11/ iPad mini/ iPad Air; AirPods/ AirPods Pro/ MagSafe / Google Pixel/ Pixel 3a/ XL/ 3/ 2XL/ 2, Nexus 5X / 6P, Kindles Laptops: Apple MacBook Air/ MacBook Pro 13/ MacBook and moreSmartphones: iPhone 12 Pro, 12 Pro Max, 12 mini, 12, 11 Pro, 11 Pro Max, 11, XS Max, XS, XR, X, 8 Plus, 8, SE, Samsung Galaxy S21, S21+, S21 Ultra, S20, S20+, S20 Ultra, S10, S10+, S10e, S9, S9+, Note 20 Ultra, Note 20, Note 10, Note 10+, Z Fold2, Z Flip, A72, A71, A52, A51, A42, A32, LG K22, K42, K61, K51S, K41S, Q60, V50, G8S ThinQ, Sony Xperia 5 II, Xperia 5, Xperia 1 II, Xperia 1, Xperia 10 II, Xperia 10, Xperia XZ3, Nokia 8.3, Nokia 5.4, Nokia 3.4, OnePlus 9 Pro, OnePlus 9, OnePlus 8T, HTC Desire 20 pro, U12 life, U12+, U11 life, U11+, Xiaomi Mi 11, Mi 10T Lite, Mi 10T, Redmi Note 9T, Redmi Note 9, Redmi Note 9 Pro, Microsoft Lumia 950, 950XL and moreTablets: iPad Pro, iPad Air, iPad mini, Samsung Galaxy Tab S7/S6 and moreGame Consoles: Nintendo Switch and more LED power indicatorMultiple safety protection, such as Short circuit protection (SCP), Over Current protection (OCP) & Overload protection (OLP)",,1,5.0,,,,,,,,filter,Colour,Black,filter,Connectivity,USB-C,filter,Features,Power Delivery (PD),filter,published_online_store,yes,filter,Wattage Rating,65 Watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maplin,2025-11-04,,https://www.maplin.co.uk/products/maplin-extra-long-life-high-performance-alkaline-aa-aaa-batteries-10x-aa-10x-aaa?variant=43401263317213,5055189035850,Maplin 10x AA LR6 / 10x AAA LR03 7 Years Shelf Life 1.5V High Performance Alkaline Batteries,Maplin,8.99,Y,,,,,Default Title,,,All Batteries,Alkaline Batteries,Alkaline AA Batteries,Alkaline AAA Batteries,[Internal] Blue Light 10%,[Internal] Private Label 15%,,https://cdn.shopify.com/s/files/1/0633/2396/3613/files/MAP545Image1.jpg?v=1720523192,https://cdn.shopify.com/s/files/1/0633/2396/3613/files/Image2.jpg?v=1720523195,https://cdn.shopify.com/s/files/1/0633/2396/3613/files/Image3.jpg?v=1720523198,https://cdn.shopify.com/s/files/1/0633/2396/3613/files/Image4.jpg?v=1720523201,https://cdn.shopify.com/s/files/1/0633/2396/3613/files/Image5.jpg?v=1720523204,"Alkaline AA and AAA batteries are some of the most popular and versatile types of battery - If you are short on power, then Maplin has the answer with our quality AA batteries - Maplin 10x AA LR6 / 10x AAA LR03 7 Years Shelf Life 1.5V High Performance Alkaline Batteries are great for a multitude of uses from the TV remote controls to remote-controlled toys and also for cameras, MP3 players, torches, pocket TVs and games machines.. - in fact pretty much any small, portable electronic and electrical device - These batteries have been specially designed for high drain and digital applications, and also offer superb leak-proof technology - They also offers excellent value, giving 20% more capacity than standard alkaline batteries - You can use these great batteries straight out of the pack - They are commonly used for: Remote Controls: AA and AAA batteries are widely used in remote controls for televisions, DVD players, streaming devices, and other home entertainment systems - Their reliability and long battery life make them ideal for these frequently used devices - Toys: Many children's toys, including electronic games, interactive dolls, and remote-controlled cars, rely on AA and AAA batteries for power - These batteries provide a convenient and easily replaceable power source for toys that require moderate energy consumption - Flashlights: Handheld flashlights and portable lanterns often use AA batteries due to their compact size and ability to provide a steady power output - AA batteries are ideal for emergency kits and outdoor activities, ensuring that you have a reliable light source when needed - Wireless Mouse and Keyboard: Many wireless computer accessories, such as mice and keyboards, use AA batteries - These batteries offer a convenient power solution that can be quickly replaced, ensuring that your devices remain functional without the need for frequent recharging - Game Controllers: Some gaming controllers, such as those for Xbox, are designed to use AA batteries - This allows gamers to easily swap out batteries during extended play sessions, providing uninterrupted gaming experiences without waiting for a recharge - Clocks: Wall clocks, alarm clocks, and other battery-operated timekeeping devices frequently use AAA batteries - These batteries provide a long-lasting power source, ensuring that clocks run accurately without frequent battery changes - Wireless Earbuds and Headphones: Some models of wireless earbuds and headphones use AAA batteries - These batteries offer a convenient and easily replaceable power source, allowing users to quickly swap out batteries and continue listening without interruption - Specifications AA Battery chemistry: AlkalineNominal voltage: 1.5VWeight per battery: 23.8gBattery capacity: 2900 mAhLoad resistance: 43 OhmsLeak-proof technology AAA Battery chemistry: AlkalineNominal voltage: 1.5VWeight per battery: 11.6gBattery capacity: 1300 mAhLoad resistance: 75 OhmsLeak-proof technology",,5,4.8,,,,,,,,filter,Battery Chemistry,Alkaline,filter,Battery Size,AAA,filter,Number Of Batteries,20,filter,published_online_store,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maplin,2025-11-04,,https://www.maplin.co.uk/products/energizer-cr2032-3v-lithium-coin-cell-battery-pack-of-2?variant=43401323774173,7638900248357,Energizer CR2032 3V Lithium Coin Cell Battery - Pack of 2,Energizer,1.59,Y,,,,,Default Title,,,All Batteries,Specialist Batteries,Coin Cell Batteries,All Products,[Internal] Key Worker,[Internal] Totum,,https://cdn.shopify.com/s/files/1/0633/2396/3613/products/1cce1cce79cce5cb9d1e060169a3f82169e0127c3f8e_ENE046_FS_0.jpg?v=1720523379,https://cdn.shopify.com/s/files/1/0633/2396/3613/products/3829bc19-8c48-4483-8c54-a7be7a28b80a.jpg?v=1720523381,,,,"The Energizer CR2032 3V Lithium Coin Cell Battery work in watches, doorbells, cameras, remote controls & more - They are commonly used for: Watches: Coin cell batteries are widely used in wristwatches, providing long-lasting and compact power - Calculators: Many small electronic calculators use coin cell batteries due to their compact size and low power requirements - Hearing Aids: Some hearing aids use coin cell batteries for their small size and reliable power - Remote Controls: Small remote controls, such as those for car key fobs or some TV remotes, often use coin cell batteries - Medical Devices: Devices like glucose meters and digital thermometers frequently use coin cell batteries for their compact and lightweight design - Specifications Battery size: CR2032Battery chemistry: LithiumBattery voltage: 3VPack size: 2",,5,4.8,,,,,,,,filter,Battery Chemistry,Lithium,filter,Battery Size,CR2032,filter,Number Of Batteries,2,filter,published_online_store,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maplin,2025-11-04,,https://www.maplin.co.uk/products/nikkai-usb-c-to-usb-a-3-1-hdmi-usb-c-multiport-adapter-white?variant=43401367945437,5026686000559,Nikkai USB-C Multiport Hub to USB-A 3.1 Gen 1 / HDMI 4K 30Hz / USB-C PD 100W - White,Nikkai,18.99,Y,,,,White,Default Title,,,All PC & Mobile Accessories,USB Hubs,USB-C Hubs,[Internal] Blue Light 10%,[Internal] Private Label 15%,Learn more about Nikkai,,https://cdn.shopify.com/s/files/1/0633/2396/3613/files/MAP283Image1.jpg?v=1720523717,https://cdn.shopify.com/s/files/1/0633/2396/3613/files/MAP283Image2.jpg?v=1720523721,https://cdn.shopify.com/s/files/1/0633/2396/3613/files/MAP283Image4.jpg?v=1720523725,https://cdn.shopify.com/s/files/1/0633/2396/3613/files/MAP283Image5.jpg?v=1720523728,https://cdn.shopify.com/s/files/1/0633/2396/3613/files/MAP283Image6.jpg?v=1720523736,"Increase your USB-C smartphone, tablet or laptops capabilities with the Nikkai USB-C Multiport Hub to USB-A 3.1 Gen 1 / HDMI 4K 30Hz / USB-C PD 100W - Providing the latest fast charge and transfer speeds on the market, connect your device to the additional HDMI, USB-A or USB-C ports for high-quality display and data transfer functions.HDMI portPerfect for movie lovers mirror your smartphone, tablet or laptop to your TV with up to 4K resolution - Supporting both video and audio output, this multi-port adapter will deliver a clean, crisp picture to render your videos, photos and games - HDMI cable sold separately.USB-A 3.1 portConnect your flash device, external hard drive, wireless mouse, camera and more to your USB-C device for a high-speed connection and data transfer - USB cable sold separately.USB-C portSupports Power Delivery (PD) fast charging and data transfer.",,5,3.4,,,,,,,,filter,Colour,White,filter,Connectivity,USB-C,filter,Features,Power Delivery (PD),filter,published_online_store,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maplin,2025-11-04,,https://www.maplin.co.uk/products/prosound-usb-omnidirectional-electret-condenser-lavalier-microphone-with-3-5mm-audio-socket?variant=43401064448221,5026686003215,ProSound Lavalier USB-A Microphone Omnidirectional Electret Condenser with 3.5mm Audio Socket,ProSound,19.99,Y,,,,Black,Default Title,,,All Audio,Microphones,Lavalier Microphones,[Internal] Blue Light 10%,[Internal] Private Label 15%,Learn more about ProSound,,https://cdn.shopify.com/s/files/1/0633/2396/3613/products/0b600b60dd2097fddac2f7e343b9fdfed505decb1c54_MAP475_FS_0.jpg?v=1720525486,https://cdn.shopify.com/s/files/1/0633/2396/3613/products/0ef50ef51ab70418456998f84ebd2cdb53f355b82843_MAP475_LS_2.jpg?v=1720525489,https://cdn.shopify.com/s/files/1/0633/2396/3613/products/e10ce10cf923a497203201faf85bb8b1bf9f3a8668ab_MAP475_LS_1.jpg?v=1720525491,https://cdn.shopify.com/s/files/1/0633/2396/3613/products/b011b01159245d2135d0ebb72b8ec4f855208762838c_MAP475_LS_0.jpg?v=1720525493,https://cdn.shopify.com/s/files/1/0633/2396/3613/products/9ea19ea178ffd77a3e18bf4412cb87d34a32f94ae054_MAP475_LS_3.jpg?v=1720525496,"Speak naturally and sound professional with the ProSound USB-A Omnidirectional Electret Condenser Lavalier Microphone with 3.5mm Audio Socket - Blending in with your clothing, this hands free lapel microphone is small and unobtrusive with a quick clip on attachment perfect for any interview.Built with a Realtek sound card, an omnidirectional pickup pattern and noise cancellation chip, you can ensure your recording is clear and accurate in all environments.Perfect for almost all audio and video recording needs, the plug and play USB jack allows you to connect to all major PC and Mac computers/laptops and a 3.5mm jack output for connectivity to your headphones, headset, speakers - Includes an extended 2m cable cord for increased working flexibility.Ideal for the following applications:- Conference calls on Zoom, Teams, Google Hangouts, Skype, Facetime, WhatsApp and more- Interviews and general video recordings broadcast on YouTube, Facebook, Instagram and more- Other uses include teaching, speeches, events planning and singing performances.Features Sensitivity: -30dB +/-3dB Polar pattern: omnidirectional Impedance: 1K Ohm +/-30%@1kHz Sensitivity range: within -3dB at 1V Operating voltage: 5V Frequency response: 50Hz-18KHz Signal/noise ratio: 74dB Cable length: 2m Sampling rate supported: 48KHz,16bit Connector: Standard USB (Plug-and-play for PC and Macbook)",,0,0.0,,,,,,,,filter,Colour,Black,filter,Connectivity,USB-A 2.0,filter,published_online_store,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maplin,2025-11-04,,https://www.maplin.co.uk/products/maono-xlr-cardioid-professional-vocal-studio-microphone-with-boom-arm?variant=43400899199197,6972237680253,Maono XLR Cardioid Professional Vocal Studio Microphone with Boom Arm Kit,Maono,59.99,Y,,,,,Default Title,,,All Audio,Microphones,Boom Microphones,[Internal] Blue Light 10%,[Internal] Private Label 15%,[Internal] 30% off Maplin Extra Long Life High Performance Alkaline AA / AAA Batteries when you purchase any of these products,,https://cdn.shopify.com/s/files/1/0633/2396/3613/files/bde8bde819df1ec414e80ea856c4d4f18d2f426fcaa0_1.jpg?v=1720525227,https://cdn.shopify.com/s/files/1/0633/2396/3613/files/615GubFjw3L._AC_SL1000.jpg?v=1720525230,https://cdn.shopify.com/s/files/1/0633/2396/3613/files/b165b16544d1a40414d9f204a05d59970217cc852c1d_2.jpg?v=1720525233,https://cdn.shopify.com/s/files/1/0633/2396/3613/files/22d522d58738f26e58bfdc9a3c1bc07e22af3a3d7579_3.jpg?v=1720525236,https://cdn.shopify.com/s/files/1/0633/2396/3613/files/c2dbc2dbf2cea92c3715e91d7c8ca892bacde21a1b52_4.jpg?v=1720525239,"The Maono XLR Cardioid Vocal Studio Microphone with Boom Arm Kit has a built-in large 16mm condenser capsule, a custom-engineered low-mass diaphragm providing extended frequency response and superior transient response - High-SPL handling and wide dynamic range make wide versatility - This high-quality XLR microphone is ideal for recording sounds and suitable for podcasting, recording, streaming, gaming, and online chatting.With higher standard microphone craftsmanship, this microphone uses high-quality materials to protect the microphone from being damaged - The adjustable arm bracket has a durable aluminium alloy structure and is foldable, so easy to carry.The XLR microphone output uses a 3 Pin male to the female XLR cable connection, and the Pro-grade microphone cord is designed specifically for microphones - Cardioid pointing can reduce the pickup of surrounding noise and bring you an immersive recording experience - The shock absorber can reduce the noise caused by vibration - Pop filter and windscreen cap can lower wind and saliva interference and make your voice clearer.Due to the professionalism of XLR microphones, they must be driven by an additional 48V phantom power supply or audio interface, so you must connect an additional power supply.The microphone kit includes: 1x microphone, 1x boom arm, 1x metal shock mount, 1x pop filter, 1x windscreen, 1x XLR to XLR cable and User manual - Specifications Polar pattern: CardioidFrequency response: 20 - 20,000HzSensitivity: -34dB ± 3dBImpedance: 200 Ohms ±30%Max - input sound level: 140dB SPL, 1kHz at 1% T.H.D.Signal to noise ratio: 76dBPhantom power requirements: 48V DC, 3mA typicalOutput connector: 3-pin XLR",,1,5.0,,,,,,,,filter,Connectivity,XLR,filter,published_online_store,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maplin,2025-11-04,,https://www.maplin.co.uk/products/energizer-lr20-max-power-alkaline-d-batteries-pack-of-2?variant=43401299722461,7638900297331,Energizer LR20 Max Power Alkaline D Batteries - Pack of 2,Energizer,3.99,Y,,,,,Default Title,,,All Batteries,Alkaline Batteries,Alkaline D Batteries,All Products,[Internal] Key Worker,[Internal] Totum,,https://cdn.shopify.com/s/files/1/0633/2396/3613/products/c10cc10c798a08ec86d7005da71d582cc8621ddcea19_ENE008_FS_0.jpg?v=1720523298,,,,,"The Energizer brand expertise at an affordable price - They give lasting power for your basic energy needs - Energizer LR20 Max Power Alkaline D Batteries have great resistance to leakage compared to Carbon Zinc batteries.This will work in your: Large Torch, MP3 Player, Wireless Gaming Control, Bluetooth Headset, Camera, Torch, Remote, Portable Gaming, Walkie Talkie, GPS, Toy Car, Big Toy, Clock, Baby Monitor, Personal Organiser - They are commonly used for: Flashlights: Larger, high-powered flashlights often use D batteries to provide strong and long-lasting illumination - Portable Radios: Many larger portable radios and boomboxes use D batteries for extended playtime - Toys: Some larger or more power-intensive toys, such as certain remote-controlled cars or motorized toys, require D batteries - Camping Equipment: Devices like heavy-duty lanterns and some portable camping stoves and heaters often use D batteries - Emergency Equipment: D batteries are commonly used in emergency equipment like weather radios, large flashlights, and portable sirens, ensuring they are ready for use in critical situations - Specifications Size: DVoltage: 1.5VChemistry: Alkaline",,2,5.0,,,,,,,,filter,Battery Chemistry,Alkaline,filter,Battery Size,LR20,filter,Number Of Batteries,2,filter,published_online_store,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maplin,2025-11-04,,https://www.maplin.co.uk/products/maplin-scart-to-hdmi-adapter-black?variant=43401383870685,5026686001648,Maplin SCART to HDMI Adapter - Black,Maplin,12.99,Y,,,,Black,Default Title,,,All PC & Mobile Accessories,Adapters,HDMI Adapters,SCART Adapters,[Internal] Blue Light 10%,[Internal] Private Label 15%,,https://cdn.shopify.com/s/files/1/0633/2396/3613/files/MAP322_FR_0_1.jpg?v=1751621489,https://cdn.shopify.com/s/files/1/0633/2396/3613/files/MAP322_L_0.jpg?v=1751621489,https://cdn.shopify.com/s/files/1/0633/2396/3613/files/MAP322_R_0.jpg?v=1751621489,https://cdn.shopify.com/s/files/1/0633/2396/3613/files/MAP322_B_0.jpg?v=1751621489,https://cdn.shopify.com/s/files/1/0633/2396/3613/files/MAP322_T_0.jpg?v=1751621489,"As a universal converter for SCART input to HDMI output, this Maplin SCART to HDMI Adapter converts composite video signal and the FL/FR stereo audio signal to a digital HDMI video and audio signal - Use it for converting a set-top box, DVD player or other devices with a SCART port to play on a TV with an HDMI port - Suitable for Full HD visuals, the small and portable design of the adapter makes it an ideal addition to any AV setup.Please note: Requires AC adapter",,5,4.0,,,,,,,,filter,Colour,Black,filter,Connectivity,SCART,filter,published_online_store,yes,filter,Resolution,1920 x 1080p (Full HD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maplin,2025-11-04,,https://www.maplin.co.uk/products/nikkai-usb-c-to-hdmi-usb-a-3-0-x3-usb-c-rj45-vga-sd-microsd-docking-station-silver?variant=43401368764637,5026686002379,Nikkai USB-C Multiport Hub to 3x USB-A 3.0 / HDMI 4K / Gigabit RJ45 / VGA / USB-C PD / 3.5mm Audio / SD Card Reader - Silver,Nikkai,29.99,Y,,,,Silver,Default Title,,,All PC & Mobile Accessories,USB Hubs,USB-C Hubs,[Internal] Blue Light 10%,[Internal] Private Label 15%,Learn more about Nikkai,,https://cdn.shopify.com/s/files/1/0633/2396/3613/files/MAP389Image1.jpg?v=1720523901,https://cdn.shopify.com/s/files/1/0633/2396/3613/files/MAP389Image2.jpg?v=1720523909,https://cdn.shopify.com/s/files/1/0633/2396/3613/files/MAP389Image3.jpg?v=1720523914,https://cdn.shopify.com/s/files/1/0633/2396/3613/files/MAP389Image4.jpg?v=1720523918,https://cdn.shopify.com/s/files/1/0633/2396/3613/files/MAP389Image6.jpg?v=1720523922,"Expand the connectivity of your MacBook Pro, Chromebook or other USB-C enabled laptop - The Nikkai USB-C Multiport Hub to 3x USB-A 3.0 / HDMI 4K / Gigabit RJ45 / VGA / USB-C PD / 3.5mm Audio / SD Card Reader lets you use a 4K Ultra HD HDMI video output, three USB 3.0 Type-A ports, a Gigabit Ethernet port, a Full HD VGA port, a PD charging USB-C port plus a SD and a MicroSD card reader slot through your laptop’s USB-C port.Using the 4K HDMI port, you can easily connect a high-resolution monitor and gain access to more screen space - You can also use the VGA port to connect to an extra monitor - It is 1080P compatible at 60Hz - The adapter supports Mirror, Extend and Split mode on monitors - Both SST (Single Stream Transport Mode) and MST (Multi-Stream Transport) modes are supported so multiple monitors can be used, as extra display space or to show the same view on an additional screen.The Gigabit Ethernet port ensures reliable wired network access, which is ideal for areas with limited Wi-Fi - With three additional USB 3.0 ports (USB Type-A) you can connect existing peripheral devices, like your mouse or flash drive - They deliver up to 5 Gbps data speeds - The adapter also has an SD and a MicroSD card reader slot so you can access all of your multimedia content - Both can work simultaneously - It also features a USB-C port that supports USB Power Delivery 3.0 (USB PD 3.0) to use your laptop’s USB-C power adapter to power your laptop - It supports 60W max output charging  - Additionally, use this adapter to mirror the screen of your USB-C device (including iPAD, iMAC, PC laptop) to display apps, presentations, websites, slideshows on your HDMI-equipped TV, display, projector or other compatible display - HDMI cable required for this, sold separately.The versatile multiport adapter is compact and lightweight, so it's easy to tuck into your laptop bag - It consolidates multiple ports into a single adapter, which means you don’t need to bring along multiple single-function adapters.",,5,4.4,,,,,,,,filter,Colour,Silver,filter,Connectivity,VGA,filter,Features,Power Delivery (PD),filter,published_online_store,yes,filter,Resolution,3840 x 2160p (4K Ultra HD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
